,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
0,1,500,5000,auto,0,1,0.03473755930934219,0.16480112973795397,0.2908501201651748,0.12269251034190617,-0.28312697500881945,0.37540906640256433,-0.06939030728840712,0.5297983696287595
1,2,500,5000,auto,0,1,0.08048292885513364,0.15956979638367236,0.5655654748114836,0.3077880649271207,-0.2614881407899644,0.7596799845659075,-0.02178833492464083,0.49636660952934214
2,3,500,5000,auto,0,1,0.0784109494836065,0.19831000857068587,0.4808485726418016,0.2601775362494949,-0.30137478667034123,0.644279654119645,-0.07520024058980579,0.767140577316106
3,4,500,5000,auto,0,1,0.1734282083774985,0.1882206315213064,0.9438364450576366,0.7748753029403368,-0.22381434499126368,1.3820148082799415,0.021515300942853477,0.6912699448361604
4,5,500,5000,auto,0,1,0.12598778311741055,0.19510865088998236,0.7064696896924676,0.5667316677417608,-0.22230588175781743,0.9813958594781291,-0.029678140070018122,0.7425643635196751
5,6,500,5000,auto,0,1,0.1423390663791162,0.12659968986329947,1.1147559524095385,1.1511011480009419,-0.12365469935140723,1.6108413697186688,0.07306697911233262,0.3121074866968862
6,7,500,5000,auto,0,1,0.0684898152167226,0.20362398234627582,0.4278594225579018,0.24526713466418146,-0.27924579177923087,0.589278424720525,-0.09140983614183207,0.8088849994572742
7,8,500,5000,auto,0,1,0.17199870448429921,0.13975675444559116,1.206102492028243,1.0248144763668414,-0.16783399185974296,1.709202694114196,0.08592035967952416,0.3807324749451218
8,9,500,5000,auto,0,1,0.11948056701857812,0.17754784360950893,0.7258175066362884,0.3659965062532894,-0.3264527529011195,0.9574924143786132,-0.0101274767669709,0.6147197178074695
9,10,500,5000,auto,0,1,0.08067840496585243,0.184880402906231,0.5126218736519838,0.3031478623298149,-0.26613549027133493,0.7011041475342618,-0.05448065640474675,0.6666317097871761
10,11,500,5000,auto,0,1,0.2265744460165111,0.1891251004670417,1.1752085385710025,1.1073345018889187,-0.20461246861721982,1.7044453763751102,0.06635670552253381,0.6985374648953692
11,12,500,5000,auto,0,1,0.12015735787402271,0.16099244265141438,0.7856959673228672,0.6772576771277345,-0.17741749105541754,1.0922957789452497,0.012281461428493179,0.5052472419551679
12,13,500,5000,auto,0,1,0.10757368328716299,0.19845062867351757,0.6151825045135498,0.35982248322629545,-0.2989632063083423,0.8328164366923603,-0.05037425460449518,0.7682121247601731
13,14,500,5000,auto,0,1,0.16603314201327812,0.15957776879803232,1.042617356255454,0.9643762926915234,-0.17216634551424775,1.5224393536992296,0.05553255480844976,0.4965961198512659
14,15,500,5000,auto,0,1,0.07369483275439959,0.19796714174777663,0.4590549118740781,0.23012929885136557,-0.3202322916822387,0.6226469164686436,-0.07878465431777526,0.7645007316860019
15,16,500,5000,auto,0,1,0.2570141301531521,0.14022613953409946,1.7012927284507924,2.745140548318975,-0.09362512615630493,2.8256042041584677,0.16369179802219147,0.38428236341502053
16,17,500,5000,auto,0,1,0.03600885011835642,0.17091879782404298,0.29353794190453825,0.09514565959712164,-0.37846025000856437,0.38399180443212894,-0.07572643744220153,0.5698901684842917
17,18,500,5000,auto,0,1,0.07536280287553976,0.17146753735140405,0.5112620566333514,0.241705025332164,-0.31179659079066374,0.6522948831757562,-0.04114610945688291,0.5733026187797242
18,19,500,5000,auto,0,1,0.017699326242434088,0.17115010519125456,0.18902310502723496,0.08339020504204107,-0.212247064670377,0.24891988979858132,-0.09241483507893467,0.5716342629155938
19,20,500,5000,auto,0,1,0.040921083783035384,0.1634343389599475,0.3294376348059175,0.12178415706641037,-0.3360131955482569,0.39097420682486056,-0.06200371771443125,0.5209789473536313
20,21,500,5000,auto,0,1,0.19551912271254923,0.1899499218817993,1.0361672513448776,0.671838125396752,-0.29102117805101635,1.441596086408804,0.038229186470047694,0.704263453334117
21,22,500,5000,auto,0,1,0.17234448321060247,0.18321220125468196,0.95958258841397,1.3090986065840395,-0.13165126167257787,1.4305232406568726,0.02805323578053298,0.6549175598154949
22,23,500,5000,auto,0,1,0.1504502603975797,0.19564204837344124,0.8150106532400898,0.6403892727423129,-0.23493563493547084,1.1396001546629502,-0.00941697607514258,0.7467544595835396
23,24,500,5000,auto,0,1,0.05219755666450521,0.17922487914634672,0.37433009049795546,0.23083289404867857,-0.22612702959699352,0.5030831464734057,-0.07192630717011317,0.6265507472164766
24,25,500,5000,auto,0,1,0.09705400607186809,0.15285191508545984,0.6822990588312986,0.7217953271747028,-0.13446194844702453,0.9805740053690059,0.001296284247715107,0.4553393523820748
25,26,500,5000,auto,0,1,0.07251156834755967,0.1737954564108717,0.4910478936895396,0.2395386362629305,-0.3027134556613534,0.6406516467765838,-0.04676479610608797,0.5890104657951084
26,27,500,5000,auto,0,1,0.24863118481887492,0.18051099234489046,1.3204813722734448,1.7735155337207829,-0.140191151468098,2.0174571589794574,0.09893232114303152,0.6366407378797866
27,28,500,5000,auto,0,1,0.21290683482664097,0.18561081096993795,1.1332107108123912,0.7116958570274815,-0.29915424225719467,1.6328134012756335,0.05991144879530963,0.6726249175096516
28,29,500,5000,auto,0,1,0.10743952513062438,0.18007636355347473,0.6581268460980115,0.3020232260538077,-0.3557326584925731,0.8703873611452697,-0.02422711252287102,0.6323641613429508
29,30,500,5000,auto,0,1,0.12234821884336289,0.15518738439033913,0.8217267716895756,0.475745100285727,-0.2571717896198657,1.1578799071052959,0.02157428685074425,0.46940069510848614
