,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-21,2021-10-11,1,537,29,1,5321
1,2021-10-21,2021-10-11,2,257,18,2,2844
2,2021-10-21,2021-10-11,3,891,32,1,5881
3,2021-10-21,2021-10-11,4,272,17,1,3693
4,2021-10-21,2021-10-11,5,651,29,5,4136
5,2021-10-21,2021-10-11,6,917,40,1,1668
6,2021-10-21,2021-10-11,7,163,7,4,583
7,2021-10-21,2021-10-11,8,522,44,1,1454
8,2021-10-21,2021-10-11,9,92,38,1,2041
9,2021-10-21,2021-10-11,10,156,48,2,2990
10,2021-10-21,2021-10-11,11,496,46,3,3770
11,2021-10-21,2021-10-11,12,67,2,2,4234
12,2021-10-21,2021-10-11,13,711,21,4,3104
13,2021-10-21,2021-10-11,14,539,47,2,4654
14,2021-10-21,2021-10-11,15,764,21,1,946
15,2021-10-21,2021-10-11,16,206,25,2,4249
16,2021-10-21,2021-10-11,17,172,20,2,2081
17,2021-10-21,2021-10-11,18,675,8,1,5747
18,2021-10-21,2021-10-11,19,828,47,3,4335
19,2021-10-21,2021-10-11,20,963,19,2,73
20,2021-10-21,2021-10-11,21,380,46,4,1266
21,2021-10-21,2021-10-11,22,644,48,1,4325
22,2021-10-21,2021-10-11,23,911,43,4,4798
23,2021-10-21,2021-10-11,24,366,31,2,3018
24,2021-10-21,2021-10-11,25,338,27,4,2317
25,2021-10-21,2021-10-11,26,32,16,3,1724
26,2021-10-21,2021-10-11,27,566,49,1,593
27,2021-10-21,2021-10-11,28,69,32,1,1334
28,2021-10-21,2021-10-11,29,550,42,1,3979
29,2021-10-21,2021-10-11,30,213,18,1,4974
30,2021-10-21,2021-10-11,31,632,47,5,329
31,2021-10-21,2021-10-11,32,734,38,2,2305
32,2021-10-21,2021-10-11,33,322,44,1,1041
33,2021-10-21,2021-10-11,34,715,21,1,998
34,2021-10-21,2021-10-11,35,135,34,5,1274
35,2021-10-21,2021-10-11,36,2,32,5,1772
36,2021-10-21,2021-10-11,37,945,48,3,5056
37,2021-10-21,2021-10-11,38,701,27,2,2777
38,2021-10-21,2021-10-11,39,81,49,3,4428
39,2021-10-21,2021-10-11,40,263,46,4,4524
40,2021-10-21,2021-10-11,41,909,11,1,5670
41,2021-10-21,2021-10-11,42,550,29,3,383
42,2021-10-21,2021-10-11,43,545,41,3,408
43,2021-10-21,2021-10-11,44,47,32,2,4970
44,2021-10-21,2021-10-11,45,981,24,1,2704
45,2021-10-21,2021-10-11,46,984,28,1,4467
46,2021-10-21,2021-10-11,47,402,39,4,944
47,2021-10-21,2021-10-11,48,65,38,5,827
48,2021-10-21,2021-10-11,49,992,14,4,2357
49,2021-10-21,2021-10-11,50,344,15,1,789
50,2021-10-21,2021-10-11,51,348,5,2,5974
51,2021-10-21,2021-10-11,52,20,44,1,2019
52,2021-10-21,2021-10-11,53,695,42,1,5947
53,2021-10-21,2021-10-11,54,563,46,1,3599
54,2021-10-21,2021-10-11,55,710,30,1,4306
55,2021-10-21,2021-10-11,56,442,39,3,2706
56,2021-10-21,2021-10-11,57,911,35,1,2945
57,2021-10-21,2021-10-11,58,407,7,4,456
58,2021-10-21,2021-10-11,59,346,38,5,3719
59,2021-10-21,2021-10-11,60,956,46,3,2089
60,2021-10-21,2021-10-11,61,790,39,4,3446
61,2021-10-21,2021-10-11,62,219,37,1,4141
62,2021-10-21,2021-10-11,63,627,16,5,247
63,2021-10-21,2021-10-11,64,921,27,3,5522
64,2021-10-21,2021-10-11,65,50,42,4,1217
65,2021-10-21,2021-10-11,66,229,47,5,3881
66,2021-10-21,2021-10-11,67,882,19,3,4125
67,2021-10-21,2021-10-11,68,923,11,5,5092
68,2021-10-21,2021-10-11,69,865,22,2,3023
69,2021-10-21,2021-10-11,70,880,28,3,3510
70,2021-10-21,2021-10-11,71,281,3,3,967
71,2021-10-21,2021-10-11,72,816,45,3,2641
72,2021-10-21,2021-10-11,73,94,13,1,3740
73,2021-10-21,2021-10-11,74,415,10,1,1174
74,2021-10-21,2021-10-11,75,265,49,1,1566
75,2021-10-21,2021-10-11,76,409,48,3,4852
76,2021-10-21,2021-10-11,77,920,3,2,3750
77,2021-10-21,2021-10-11,78,463,33,5,1460
78,2021-10-21,2021-10-11,79,268,5,2,1354
79,2021-10-21,2021-10-11,80,681,28,2,3002
80,2021-10-21,2021-10-11,81,679,19,3,5425
81,2021-10-21,2021-10-11,82,550,36,4,1479
82,2021-10-21,2021-10-11,83,529,39,2,410
83,2021-10-21,2021-10-11,84,777,43,1,1432
84,2021-10-21,2021-10-11,85,240,34,1,4571
85,2021-10-21,2021-10-11,86,344,29,2,3584
86,2021-10-21,2021-10-11,87,274,42,3,1224
87,2021-10-21,2021-10-11,88,897,46,5,4834
88,2021-10-21,2021-10-11,89,202,34,5,994
89,2021-10-21,2021-10-11,90,432,38,4,4228
